[leftx, left y], [rightx, righty], [X, Y, Z]

Ball 1.
[908, 703], [629, 695], [1265, 479, 5032]
[901, 678], [638, 672], [1255, 510, 5152]
[894, 654], [648, 649], [1242, 538, 5283]
[885, 633], [655, 628], [1238, 560, 5411]
[877, 611], [664, 606], [1229, 584, 5550]
[870, 594], [672, 590], [1219, 595, 5677]
[862, 574], [671, 559], [1234, 665, 5748]
[861, 544], [668, 528], [1244, 783, 5746]
Ball 2.
[831, 513], [654, 498], [1317, 844, 5903]
[824, 498], [661, 482], [1311, 860, 6030]
[813, 468], [675, 456], [1294, 892, 6268]
[807, 457], [681, 443], [1288, 902, 6388]
[802, 444], [687, 433], [1280, 914, 6500]
[796, 432], [693, 422], [1273, 923, 6627]
[791, 423], [698, 413], [1267, 928, 6736]
[787, 414], [705, 402], [1255, 935, 6859]
[781, 405], [711, 393], [1247, 934, 6998]
[777, 396], [715, 386], [1242, 942, 7094]
[772, 389], [721, 380], [1232, 934, 7228]
[766, 382], [726, 373], [1227, 927, 7368]
[752, 363], [738, 358], [1211, 913, 7718]
Ball 3.
[940, 845], [518, 851], [1431, 430, 4151]
[930, 810], [530, 816], [1424, 472, 4282]
[921, 778], [541, 783], [1417, 513, 4406]
[911, 746], [554, 749], [1407, 549, 4550]
[901, 716], [564, 719], [1402, 586, 4681]
[884, 661], [586, 665], [1384, 650, 4946]
[874, 636], [595, 636], [1381, 684, 5083]
[867, 611], [604, 615], [1372, 715, 5202]
[860, 590], [614, 590], [1362, 745, 5331]
[851, 569], [622, 569], [1358, 768, 5465]
[844, 550], [631, 550], [1349, 789, 5594]
[836, 531], [638, 532], [1345, 811, 5721]
[828, 514], [646, 515], [1338, 825, 5859]
[823, 498], [654, 498], [1327, 848, 5976]
[815, 483], [660, 482], [1325, 864, 6106]
[810, 469], [667, 469], [1316, 880, 6220]
[803, 457], [672, 455], [1314, 893, 6339]
[797, 444], [680, 443], [1304, 900, 6481]
[790, 433], [687, 432], [1296, 900, 6628]
[785, 422], [692, 421], [1291, 913, 6737]
