px,py,pz,mx,my,mz,msecs
217.01,73.667,4.0084,333.65,46.967,107.65,33
513.55,125.52,309.63,641.89,101.49,443.89,66
848.09,161.79,618.39,984.68,138.57,739.68,99
1176.8,196.61,931.2,1298,181.2,1044,132
1522.6,240.84,1259.8,1640.8,238.37,1369.8,165
1880.5,281.87,1595.4,1992,284.08,1697,198
2241,296.21,1946.3,2340.6,290.32,2043.6,231
2580.1,329.84,2266.6,2656.6,340.09,2336.6,264
2921.1,365.16,2593.4,2988.9,380.38,2657.9,297
3274.1,389.19,2932.2,3339.6,402.2,2994.6,330
3607.7,409.04,3265.4,3655.5,423.53,3317.5,363
3927.9,418.64,3596.1,3963.6,431.38,3640.6,396
4233.3,437.22,3932.8,4257.9,457.75,3974.9,429
4550.4,441,4261.8,4578.3,456.63,4295.3,462
4868.4,426.36,4590.9,4893.8,436.01,4620.8,495
5202.6,409.55,4921,5233.5,421.91,4948.5,528
5539.9,393.36,5254.6,5569.1,409.32,5281.1,561
5864.5,399.69,5596.7,5884.8,429.24,5624.8,594
6199,394.79,5945.7,6222.4,419.67,5974.4,627
6515.3,380.73,6283.5,6527.9,402.61,6303.9,660
6806.3,317.4,6581.9,,,,693
7094.4,243.69,6877.4,,,,726
7379.6,159.74,7169.8,,,,759
7661.9,65.6,7459.4,,,,792
7941.5,-38.588,7746.1,,,,825
8217.9,-152.62,8029.6,,,,858
8491.9,-276.65,8310.6,,,,891
8763.1,-410.4,8588.8,,,,924
9031.6,-553.8,8864.1,,,,957
9297.4,-706.81,9136.8,,,,990
9560.6,-869.26,9406.6,,,,1023
9821.1,-1041.1,9673.8,,,,1056
10079,-1222.2,9938.3,,,,1089
10334,-1412.5,10200,,,,1122
10587,-1611.9,10459,,,,1155
10837,-1820.3,10716,,,,1188
11085,-2037.6,10970,,,,1221
11330,-2263.5,11221,,,,1254
11573,-2498.4,11470,,,,1287
11813,-2741.9,11717,,,,1320
12051,-2994,11961,,,,1353
12287,-3254.6,12203,,,,1386
12520,-3523.6,12442,,,,1419
12751,-3800.9,12679,,,,1452
12980,-4086.3,12913,,,,1485
13206,-4380,13145,,,,1518
13430,-4681.7,13375,,,,1551
13652,-4991.4,13602,,,,1584
13871,-5309,13828,,,,1617
14089,-5634.4,14051,,,,1650
